"","id","CS","SB","ELO","Season","FIX ME","Name"
"90","flanm001",2,9,973.496385916776,1979,NA,"Mike Flanagan"
"91","fordd101",1,0,1018.23803992674,1979,NA,"Dave Ford"
"92","forsb001",10,19,1043.24210952057,1979,NA,"Bob Forsch"
"93","forsk001",4,8,1013.10070126813,1979,NA,"Ken Forsch"
"94","forst001",1,0,1041.44701179015,1979,NA,"Terry Forster"
"95","frazg001",0,3,979.536230982552,1979,NA,"George Frazier"
"96","freid101",5,4,1091.97365967173,1979,NA,"Dave Freisleben"
"97","frosd101",5,24,938.22908493732,1979,NA,"Dave Frost"
"98","frymw101",8,5,1090.21732030419,1979,NA,"Woodie Fryman"
"99","fulgj101",0,11,921.023645299964,1979,NA,"John Fulgham"
"100","galab101",0,7,944.243275566269,1979,NA,"Bob Galasso"
"101","galer001",14,10,1105.51696426085,1979,NA,"Rich Gale"
"102","garbg001",2,20,896.390515723201,1979,NA,"Gene Garber"
"103","garlw101",2,17,908.14198625672,1979,NA,"Wayne Garland"
"104","garvj101",0,2,976.851535086281,1979,NA,"Jerry Garvin"
"105","geisd001",0,1,978.884481268697,1979,NA,"Dave Geisel"
"106","gleaj001",0,1,987.281675402805,1979,NA,"Jerry Gleaton"
"107","glyne001",4,4,1036.46396011371,1979,NA,"Ed Glynn"
"108","goltd101",12,13,1035.209821049,1979,NA,"Dave Goltz"
"109","gossr001",0,3,980.52546179197,1979,NA,"Rich Gossage"
"110","grift101",7,13,1026.59571721743,1979,NA,"Tom Griffin"
"111","grimr101",5,7,1023.87208091226,1979,NA,"Ross Grimsley"
"112","guidr001",9,6,1123.53688020557,1979,NA,"Ron Guidry"
"113","gural001",3,12,983.074352180396,1979,NA,"Larry Gura"
"114","haasm001",14,19,1070.09705242343,1979,NA,"Moose Haas"
"115","halie101",4,26,891.940827013815,1979,NA,"Ed Halicki"
"116","hamid101",4,3,1059.06821786556,1979,NA,"Dave Hamilton"
"117","hanng101",0,2,980.668830541527,1979,NA,"Gerry Hannahs"
"118","hannp101",0,5,976.753577559715,1979,NA,"Preston Hanna"
"119","hartp001",7,16,979.130597445745,1979,NA,"Paul Hartzell"
"120","hassa001",4,9,987.019461032044,1979,NA,"Andy Hassler"
"121","haust101",4,5,1001.62716877405,1979,NA,"Tom Hausman"
"122","heavd101",2,6,961.670350520921,1979,NA,"Dave Heaverlo"
"123","hernw001",2,5,978.449400146572,1979,NA,"Guillermo Hernandez"
"124","hillj101",3,5,1024.22671726108,1979,NA,"John Hiller"
"125","hintr101",3,5,1057.81435874429,1979,NA,"Rich Hinton"
"126","hoffg002",1,4,980.184930651416,1979,NA,"Guy Hoffman"
"127","hollj102",0,1,985.362618325976,1979,NA,"Jeff Holly"
"128","holtk101",6,13,1004.88451395974,1979,NA,"Ken Holtzman"
"129","honer001",5,14,970.467686100587,1979,NA,"Rick Honeycutt"
"130","hoodd101",0,6,942.939952276311,1979,NA,"Don Hood"
"131","hootb001",7,13,1054.96417829658,1979,NA,"Burt Hooton"
"132","hougc001",7,23,969.889609602892,1979,NA,"Charlie Hough"
"133","howaf101",2,10,956.580353551425,1979,NA,"Fred Howard"
"134","hraba101",3,2,1064.9572511652,1979,NA,"Al Hrabosky"
"135","huffp001",6,12,1021.90530386031,1979,NA,"Phil Huffman"
"136","humet001",2,6,1007.09384075833,1979,NA,"Tom Hume"
"137","huntj101",6,5,1080.43834846614,1979,NA,"Catfish Hunter"
"138","jackd101",4,6,1012.02624604952,1979,NA,"Darrell Jackson"
"139","jackg101",4,4,1048.58287196852,1979,NA,"Grant Jackson"
"140","jackr003",0,1,1002.41444027847,1979,NA,"Roy Lee Jackson"
"141","jeffj101",6,3,1081.30311667004,1979,NA,"Jesse Jefferson"
"142","jenkf101",9,22,963.450353225541,1979,NA,"Fergie Jenkins"
"143","johnj001",7,9,1036.81908601332,1979,NA,"John Henry Johnson"
"144","johnt001",7,9,1037.38549931158,1979,NA,"Tommy John"
"145","joneo001",7,16,1015.83749582224,1979,NA,"Odell Jones"
"146","joner101",8,19,1018.24977068882,1979,NA,"Randy Jones"
"147","kaatj101",1,3,1002.55132519743,1979,NA,"Jim Kaat"
"148","keoum001",14,18,1075.6444291109,1979,NA,"Matt Keough"
"149","kernj001",5,5,1033.75670390454,1979,NA,"Jim Kern"
"150","kingb101",2,9,978.59413358792,1979,NA,"Brian Kingman"
"151","kinnd101",1,0,1021.96169506816,1979,NA,"Dennis Kinney"
"152","kisob001",5,13,977.696024072236,1979,NA,"Bruce Kison"
"153","knapc101",4,6,1036.17767546694,1979,NA,"Chris Knapp"
"154","knepb001",6,16,994.66258156848,1979,NA,"Bob Knepper"
"155","knowd101",0,4,960.87780994889,1979,NA,"Darold Knowles"
"156","kobek101",5,19,959.464712332581,1979,NA,"Kevin Kobel"
"157","koosj001",5,7,1052.22244466525,1979,NA,"Jerry Koosman"
"158","kravk101",11,14,1085.22524581358,1979,NA,"Ken Kravec"
